timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
30th < 2035,East < EastNorth,solar < openspace,none,expConv,0.0
30th < 2035,East < EastSouth,solar < openspace,none,expConv,0.0
30th < 2035,West < WestNorth,solar < openspace,none,expConv,0.0
30th < 2035,West < WestSouth,solar < openspace,none,expConv,0.0
30th < 2040,East < EastNorth,solar < openspace,none,expConv,0.0
30th < 2040,East < EastSouth,solar < openspace,none,expConv,0.0
30th < 2040,West < WestNorth,solar < openspace,none,expConv,0.0
30th < 2040,West < WestSouth,solar < openspace,none,expConv,0.0
10th < 2020,East < EastNorth,solar < openspace,none,capaConv,0.0
20th < 2025,East < EastNorth,solar < openspace,none,capaConv,40.0
20th < 2030,East < EastNorth,solar < openspace,none,capaConv,40.0
30th < 2035,East < EastNorth,solar < openspace,none,capaConv,40.0
30th < 2040,East < EastNorth,solar < openspace,none,capaConv,40.0
10th < 2020,East < EastSouth,solar < openspace,none,capaConv,0.0
20th < 2025,East < EastSouth,solar < openspace,none,capaConv,63.0
20th < 2030,East < EastSouth,solar < openspace,none,capaConv,63.0
30th < 2035,East < EastSouth,solar < openspace,none,capaConv,63.0
30th < 2040,East < EastSouth,solar < openspace,none,capaConv,63.0
10th < 2020,West < WestNorth,solar < openspace,none,capaConv,67.0
20th < 2025,West < WestNorth,solar < openspace,none,capaConv,67.0
20th < 2030,West < WestNorth,solar < openspace,none,capaConv,67.0
30th < 2035,West < WestNorth,solar < openspace,none,capaConv,67.0
30th < 2040,West < WestNorth,solar < openspace,none,capaConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,capaConv,44.39827715735121
20th < 2025,West < WestSouth,solar < openspace,none,capaConv,50.0
20th < 2030,West < WestSouth,solar < openspace,none,capaConv,50.0
30th < 2035,West < WestSouth,solar < openspace,none,capaConv,50.0
30th < 2040,West < WestSouth,solar < openspace,none,capaConv,50.0
10th < 2020,East < EastNorth,solar < openspace,none,commCapaConv,0.0
20th < 2025,East < EastNorth,solar < openspace,none,commCapaConv,40.0
20th < 2030,East < EastNorth,solar < openspace,none,commCapaConv,40.0
30th < 2035,East < EastNorth,solar < openspace,none,commCapaConv,40.0
30th < 2040,East < EastNorth,solar < openspace,none,commCapaConv,40.0
10th < 2020,East < EastSouth,solar < openspace,none,commCapaConv,0.0
20th < 2025,East < EastSouth,solar < openspace,none,commCapaConv,63.0
20th < 2030,East < EastSouth,solar < openspace,none,commCapaConv,63.0
30th < 2035,East < EastSouth,solar < openspace,none,commCapaConv,63.0
30th < 2040,East < EastSouth,solar < openspace,none,commCapaConv,63.0
10th < 2020,West < WestNorth,solar < openspace,none,commCapaConv,67.0
20th < 2025,West < WestNorth,solar < openspace,none,commCapaConv,67.0
20th < 2030,West < WestNorth,solar < openspace,none,commCapaConv,67.0
30th < 2035,West < WestNorth,solar < openspace,none,commCapaConv,67.0
30th < 2040,West < WestNorth,solar < openspace,none,commCapaConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,commCapaConv,44.39827715735121
20th < 2025,West < WestSouth,solar < openspace,none,commCapaConv,50.0
20th < 2030,West < WestSouth,solar < openspace,none,commCapaConv,50.0
30th < 2035,West < WestSouth,solar < openspace,none,commCapaConv,50.0
30th < 2040,West < WestSouth,solar < openspace,none,commCapaConv,50.0
10th < 2020,East,heatpump < ground < individual,none,expConv,9.0
10th < 2020,West,heatpump < ground < individual,none,expConv,9.0
20th < 2025,East,heatpump < ground < individual,none,expConv,0.0
20th < 2025,West,heatpump < ground < individual,none,expConv,0.0
20th < 2030,East,heatpump < ground < individual,none,expConv,0.0
20th < 2030,West,heatpump < ground < individual,none,expConv,0.0
30th < 2035,East,heatpump < ground < individual,none,expConv,0.0
30th < 2035,West,heatpump < ground < individual,none,expConv,0.0
30th < 2040,East,heatpump < ground < individual,none,expConv,0.0
30th < 2040,West,heatpump < ground < individual,none,expConv,0.0
10th < 2020,East,heatpump < ground < individual,none,capaConv,9.0
